MUNICIPALITY,Total Consumer Loss in a month,average per household loss in month,Premium per kWh,% of households participating in competitive supply market,# of competitive supply accounts
Abington,"41,604",32.66,0.0483,19%,"1,274"
Acton,"10,829",9.33,0.0178,13%,"1,161"
Acushnet,"11,608",15.48,0.0228,18%,750
Adams,"14,261",18.14,0.0499,19%,786
Agawam,"14,654",11.92,0.0198,17%,"1,229"
Alford,"2,304",32,0.0428,20%,72
Allston,"13,698",8.12,0.0204,18%,"1,688"
Amesbury,"26,500",2 6.79,0.0474,13%,989
Amherst,"10,976",10.5,0.0228,11%,"1,045"
Andover,"60,368",32.88,0.041,14%,"1,836"
Aquinnah,"1 ,527",20.91,0.0266,15%,73
Arlington,"26,158",9.83,0.0214,13%,"2,662"
Ashby,"9,391",6.88,0.0169,47%,"1,364"
Ashfield,"1 ,429",12.99,0.0283,12%,1 10
Ashland,"11,900",10.48,0.0177,15%,"1,135"
Assonet,"2,592",10.94,0.0167,15%,2 37
Athol,"30,101",2 7.09,0.0469,22%,"1,111"
Attleboro,"85,799",27.51,0.0493,17%,"3,119"
Auburn,"26,914",21.5,0.0438,19%,"1,252"
Auburndale,"3 ,925",13.35,0.0233,12%,2 94
Avon,"9,728",27.56,0.0464,20%,3 53
Ayer,"17,421",24.99,0.0452,19%,6 97
Barnstable,"3 ,561",16.41,0.0199,19%,2 17
Barre,"11,917",25.09,0.0414,22%,4 75
Bass River,"2,678",10.18,0.0189,14%,2 63
Becket,"1,802",9.34,0.0215,11%,1 93
Bedford,"6 ,695",8.58,0.0131,14%,7 80
Belchertown,"22,342",19.77,0.0403,18%,"1,130"
Bellingham,"3,155",11.19,0.0217,17%,2 82
Berlin,"5 ,721",3 1.61,0.0419,15%,1 81
Bernardston,"1,661",10.79,0.0179,15%,1 54
Beverly,"70,761",26.79,0.0466,16%,"2,641"
Billerica,"83,881",37.77,0.0499,15%,"2,221"
Blackstone,"24,526",28.99,0.0412,23%,8 46
Blandford,628,1 0.83,0.0176,9%,58
Bolton,"10,421",33.84,0.0353,16%,3 08
Boston,"51,659",6.83,0.0157,11%,"7,560"
Bourne,"5,015",10.15,0.0184,18%,4 94
Boxford,"16,998",42.71,0.0443,14%,3 98
Brant Rock,343,9.79,0.0206,15%,35
Brewster,"20,565",14.15,0.0209,18%,"1,453"
Bridgewater,"43,443",28.98,0.0446,16%,"1,499"
Brighton,"26,311",9.08,0.0209,15%,"2,897"
Brimfield,"8 ,775",23.65,0.0402,23%,3 71
Brockton,"254,958",21.77,0.0442,35%,"11,713"
Brookfield,"10,284",23.53,0.0371,28%,4 37
Brookline,"31,286",13.63,0.024,10%,"2,296"
Buckland,"1,495",13,0.0267,13%,1 15
Burlington,"14,850",9.72,0.0182,15%,"1,527"
Buzzards Bay,"4,934",14.1,0.0209,19%,3 50
Cambridge,"45,105",13.29,0.036,11%,"3,395"
Canton,"19,069",14.2,0.0214,15%,"1,343"
Carlisle,"4 ,248",16.15,0.0177,14%,2 63
Carver,"9,811",15.35,0.0192,15%,6 39
Cataumet,"1 ,363",1 1.65,0.0223,16%,1 17
Centerville,"16,012",13.31,0.0181,20%,"1,203"
Charlemont,"3 ,028",26.8,0.057,16%,1 13
Charlestown,"2,155",1.92,0.0036,14%,"1,120"
Charlton,"29,307",28.04,0.0386,21%,"1,045"
Chatham,"12,677",20.41,0.0268,16%,6 21
Chelmsford,"52,461",26.96,0.0469,14%,"1,946"
Chelsea,"39,471",10.22,0.0268,30%,"3,863"
Cheshire,"7 ,382",24.69,0.0482,19%,2 99
Chester,126,17.95,0.04,11%,7
Chesterfield,679,13.06,0.0292,8%,52
Chestnut Hill,"16,597",18.52,0.0222,13%,8 96
Chicopee,17,16.64,0.0383,13%,1
Chilmark,"4,691",27.27,0.0288,11%,1 72
Clarksburg,"2,554",19.06,0.0463,18%,1 34
Clinton,"40,018",25.6,0.0438,24%,"1,563"
Cohasset,"13,140",35.51,0.0479,11%,3 70
Colrain,"1 ,967",13.2,0.0229,17%,1 49
Concord,117,58.48,0.1008,11%,2
Conway,"1,439",11.79,0.0221,14%,1 22
Cotuit,"4,857",12.52,0.0197,16%,3 88
Cummaquid,"1 ,900",17.27,0.0223,22%,1 10
Cummington,397,6.62,0.0152,11%,60
Dalton,"4 ,004",9.53,0.0202,14%,4 20
Dartmouth $,15,14.61,0.0547,50%,1
Dedham $,"24,781",15.84,0.0242,16%,"1,564"
Deerfield $,434,6.02,0.0082,13%,72
Dennis $,"7 ,013",13.26,0.0197,17%,5 29
Dennis Port $,"6,278",11.42,0.0216,12%,5 50
Dighton $,"12,654",32.04,0.045,15%,3 95
Dorchester $,"177,358",1 1.79,0.0276,30%,"15,047"
Douglas $,"17,874",28.33,0.0414,17%,6 31
Dover $,"3,362",12.45,0.0107,13%,2 70
Dracut $,"46,245",24.7,0.0474,15%,"1,872"
Dudley $,"22,091",21.18,0.0367,23%,"1,043"
Dunstable $,"8 ,127",37.98,0.0413,18%,2 14
Duxbury $,"11,415",13.7,0.0156,13%,8 33
East Boston $,"36,694",10.47,0.0293,21%,"3,504"
East Bridgewat $,"34,040",30.86,0.0435,22%,"1,103"
East Brookfield $,"7,512",29.57,0.0417,25%,2 54
East Cambridge $,"8,698",10.87,0.0291,11%,8 00
East Dennis $,"3,645",14.82,0.02,14%,2 46
East Falmouth $,"22,058",13.11,0.0213,20%,"1,682"
East Freetown $,"3,319",12.29,0.0207,14%,2 70
East Harwich $,"5 ,105",13.09,0.0181,19%,3 90
East Longmead $,"39,355",33.87,0.0425,19%,"1,162"
East Orleans $,"3,713",20.63,0.0252,13%,1 80
East Otis $,732,9.15,0.0234,8%,80
East Sandwich $,"5 ,623",10.96,0.0155,18%,5 13
East Walpole $,"2 ,696",1 3.90,0.0211,11%,1 94
East Wareham $,"7,091",1 5.45,0.0239,22%,4 59
Eastham $,"7,626",14.28,0.0207,15%,5 34
Easthampton $,"11,014",9.93,0.0231,14%,"1,109"
Easton $,"50,136",31.26,0.0441,18%,"1,604"
Edgartown $,"11,792",15.16,0.0177,15%,7 78
Egremont $,"5,196",32.07,0.0503,17%,1 62
Erving $,459,10.68,0.0196,11%,43
Essex $,"6 ,673",31.04,0.0449,13%,2 15
Everett $,"94,917",22.13,0.057,26%,"4,289"
Fairhaven $,"16,262",1 5.06,0.0257,15%,"1,080"
Fall River $,"271,862",25.63,0.0533,27%,"10,609"
Falmouth $,"10,025",10.98,0.0236,17%,9 13
Feeding Hills $,"8 ,532",11.14,0.0168,16%,7 66
Fitchburg,"77,985",24.59,0.0604,18%,"3,171"
Florida‐Drury,"1,340",20.61,0.0449,18%,65
Forestdale,"2,928",9.79,0.0146,20%,2 99
Foxboro,"25,540",26.58,0.0449,13%,9 61
Framingham,"57,201",9.39,0.0203,23%,"6,094"
Franklin,"68,175",3 1.90,0.0415,18%,"2,137"
Gardner,"40,248",2 1.35,0.0491,21%,"1,885"
Gill,916,10.07,0.0185,14%,91
Gloucester,"71,815",28.84,0.0493,17%,"2,490"
Goshen,"1 ,007",17.07,0.0453,10%,59
Grafton,"25,763",22.74,0.0414,15%,"1,133"
Granby,"10,830",22.38,0.0426,20%,4 84
Granville,820,5.94,0.0086,20%,1 38
Green Harbor,164,6.58,0.0156,11%,25
Greenfield,"14,243",13.59,0.0298,12%,"1,048"
Gt Barrington,"17,441",2 4.26,0.0463,20%,7 19
Hadley,"3,540",11.64,0.0219,11%,3 04
Halifax,"17,709",29.27,0.0452,20%,6 05
Hamilton,"14,939",36.8,0.0478,14%,4 06
Hampden,"9 ,606",25.82,0.0406,19%,3 72
Hancock,"1,172",11.84,0.0289,14%,99
Hanover,"31,417",41.01,0.0424,15%,7 66
Hanson,"24,856",35.36,0.045,18%,7 03
Hardwick,"7,289",29.04,0.0436,20%,2 51
